"","Index","NumberOfLoans","RatingCategory","BorrowerAPR","CreditScoreRangeUpper","CreditGrade","ProsperRating..Alpha."
"1",1,1,"CreditGrade",0.16516,659,"C",""
"3",2,1,"CreditGrade",0.28269,499,"HR",""
"12",3,1,"CreditGrade",0.15033,659,"C",""
"18",4,1,"CreditGrade",0.13202,779,"AA",""
"22",5,1,"CreditGrade",0.21488,639,"D",""
"40",6,1,"CreditGrade",0.15211,699,"B",""
"43",7,1,"CreditGrade",0.303,539,"HR",""
"47",8,1,"CreditGrade",0.1717,679,"C",""
"60",9,1,"CreditGrade",0.16717,659,"C",""
"63",10,1,"CreditGrade",0.23748,619,"D",""
"64",11,1,"CreditGrade",0.29776,639,"D",""
"67",12,1,"CreditGrade",0.16802,639,"D",""
"69",13,1,"CreditGrade",0.21554,599,"E",""
"77",14,1,"CreditGrade",0.25861,559,"E",""
"79",15,1,"CreditGrade",0.18454,739,"A",""
"91",16,1,"CreditGrade",0.19178,619,"D",""
"93",17,1,"CreditGrade",0.08292,839,"AA",""
"102",18,1,"CreditGrade",0.20421,579,"E",""
"109",19,1,"CreditGrade",0.2832,659,"C",""
"114",20,1,"CreditGrade",0.30564,539,"HR",""
"115",21,1,"CreditGrade",0.16727,679,"C",""
"118",22,1,"CreditGrade",0.10235,759,"A",""
"122",23,1,"CreditGrade",0.15428,719,"B",""
"123",24,1,"CreditGrade",0.08718,739,"A",""
"124",25,1,"CreditGrade",0.13223,799,"AA",""
"128",26,1,"CreditGrade",0.29743,539,"HR",""
"129",27,1,"CreditGrade",0.18824,519,"HR",""
"132",28,1,"CreditGrade",0.20623,759,"A",""
"133",29,1,"CreditGrade",0.13012,699,"B",""
"137",30,1,"CreditGrade",0.21679,679,"C",""
"143",31,1,"CreditGrade",0.15882,719,"B",""
"147",32,1,"CreditGrade",0.09939,759,"A",""
"157",33,1,"CreditGrade",0.18454,699,"B",""
"163",34,1,"CreditGrade",0.08483,779,"AA",""
"165",35,1,"CreditGrade",0.16436,539,"HR",""
"173",36,1,"CreditGrade",0.24753,599,"E",""
"174",37,1,"CreditGrade",0.10642,799,"AA",""
"179",38,1,"CreditGrade",0.24856,519,"HR",""
"185",39,1,"CreditGrade",0.2659,499,"HR",""
"189",40,1,"CreditGrade",0.19835,659,"C",""
"192",41,1,"CreditGrade",0.30781,619,"D",""
"194",42,1,"CreditGrade",0.23937,559,"E",""
"202",43,1,"CreditGrade",0.15713,699,"B",""
"211",44,1,"CreditGrade",0.16607,659,"C",""
"214",45,1,"CreditGrade",0.16184,799,"AA",""
"216",46,1,"CreditGrade",0.18726,679,"C",""
"218",47,1,"CreditGrade",0.29776,559,"E",""
"221",48,1,"CreditGrade",0.30564,599,"E",""
"223",49,1,"CreditGrade",0.1272,799,"AA",""
"227",50,1,"CreditGrade",0.11749,619,"D",""
"242",51,1,"CreditGrade",0.37453,579,"E",""
"248",52,1,"CreditGrade",0.19582,559,"E",""
"250",53,1,"CreditGrade",0.29776,499,"HR",""
"251",54,1,"CreditGrade",0.08857,739,"A",""
"252",55,1,"CreditGrade",0.16647,719,"B",""
"253",56,1,"CreditGrade",0.29925,539,"HR",""
"259",57,1,"CreditGrade",0.16461,639,"D",""
"260",58,1,"CreditGrade",0.15651,659,"C",""
"262",59,1,"CreditGrade",0.10336,759,"A",""
"265",60,1,"CreditGrade",0.1911,659,"C",""
"272",61,1,"CreditGrade",0.24753,659,"C",""
"274",62,1,"CreditGrade",0.30271,559,"HR",""
"276",63,1,"CreditGrade",0.20896,579,"E",""
"294",64,1,"CreditGrade",0.24753,679,"C",""
"299",65,1,"CreditGrade",0.19128,659,"C",""
"309",66,1,"CreditGrade",0.20735,639,"D",""
"311",67,1,"CreditGrade",0.12724,619,"D",""
"315",68,1,"CreditGrade",0.13202,739,"A",""
"321",69,1,"CreditGrade",0.14942,659,"C",""
"325",70,1,"CreditGrade",0.13411,699,"B",""
"326",71,1,"CreditGrade",0.13453,699,"B",""
"327",72,1,"CreditGrade",0.30465,599,"E",""
"331",73,1,"CreditGrade",0.15377,699,"B",""
"333",74,1,"CreditGrade",0.2565,539,"HR",""
"337",75,1,"CreditGrade",0.17904,499,"HR",""
"339",76,1,"CreditGrade",0.127,699,"B",""
"340",77,1,"CreditGrade",0.30168,599,"E",""
"342",78,1,"CreditGrade",0.37352,539,"HR",""
"346",79,1,"CreditGrade",0.08991,799,"AA",""
"347",80,1,"CreditGrade",0.1215,719,"B",""
"349",81,1,"CreditGrade",0.13353,659,"C",""
"357",82,1,"CreditGrade",0.21674,599,"E",""
"363",83,1,"CreditGrade",0.14974,719,"B",""
"367",84,1,"CreditGrade",0.25506,599,"E",""
"368",85,1,"CreditGrade",0.30704,579,"E",""
"369",86,1,"CreditGrade",0.20735,679,"C",""
"370",87,1,"CreditGrade",0.37453,579,"E",""
"371",88,1,"CreditGrade",0.25802,479,"HR",""
"373",89,1,"CreditGrade",0.37453,619,"D",""
"376",90,1,"CreditGrade",0.17722,639,"D",""
"381",91,1,"CreditGrade",0.13411,759,"A",""
"384",92,1,"CreditGrade",0.10913,719,"B",""
"385",93,1,"CreditGrade",0.14197,719,"B",""
"396",94,1,"CreditGrade",0.15512,779,"AA",""
"400",95,1,"CreditGrade",0.25517,579,"E",""
"401",96,1,"CreditGrade",0.2148,699,"B",""
"402",97,1,"CreditGrade",0.29776,599,"E",""
"404",98,1,"CreditGrade",0.28545,579,"E",""
"405",99,1,"CreditGrade",0.11696,499,"HR",""
"406",100,1,"CreditGrade",0.09678,779,"AA",""
"2",101,1,"ProsperRating",0.12016,699,"","A"
"4",102,1,"ProsperRating",0.12528,819,"","A"
"5",103,1,"ProsperRating",0.24614,699,"","D"
"6",104,1,"ProsperRating",0.15425,759,"","B"
"7",105,1,"ProsperRating",0.31032,699,"","E"
"8",106,1,"ProsperRating",0.23939,719,"","C"
"9",107,1,"ProsperRating",0.0762,839,"","AA"
"10",108,1,"ProsperRating",0.0762,839,"","AA"
"11",109,1,"ProsperRating",0.27462,659,"","C"
"13",110,1,"ProsperRating",0.17969,699,"","B"
"14",111,1,"ProsperRating",0.13138,759,"","A"
"15",112,1,"ProsperRating",0.11695,759,"","A"
"16",113,1,"ProsperRating",0.35797,719,"","HR"
"17",114,1,"ProsperRating",0.30748,659,"","E"
"19",115,1,"ProsperRating",0.12528,759,"","A"
"20",116,1,"ProsperRating",0.24754,699,"","D"
"21",117,1,"ProsperRating",0.16732,679,"","B"
"23",118,1,"ProsperRating",0.35356,719,"","HR"
"24",119,1,"ProsperRating",0.28032,699,"","D"
"25",120,1,"ProsperRating",0.19859,679,"","C"
"26",121,1,"ProsperRating",0.30182,699,"","E"
"27",122,1,"ProsperRating",0.30748,679,"","E"
"28",123,1,"ProsperRating",0.11296,719,"","A"
"29",124,1,"ProsperRating",0.20268,739,"","C"
"30",125,1,"ProsperRating",0.15223,759,"","A"
"31",126,1,"ProsperRating",0.12782,759,"","A"
"32",127,1,"ProsperRating",0.35797,699,"","HR"
"33",128,1,"ProsperRating",0.16324,679,"","B"
"34",129,1,"ProsperRating",0.08191,779,"","AA"
"35",130,1,"ProsperRating",0.22966,659,"","C"
"36",131,1,"ProsperRating",0.19108,719,"","B"
"37",132,1,"ProsperRating",0.32446,699,"","E"
"38",133,1,"ProsperRating",0.28544,659,"","D"
"39",134,1,"ProsperRating",0.0893,819,"","AA"
"41",135,1,"ProsperRating",0.1963,699,"","C"
"42",136,1,"ProsperRating",0.23318,719,"","B"
"44",137,1,"ProsperRating",0.2129,659,"","C"
"45",138,1,"ProsperRating",0.21025,739,"","C"
"46",139,1,"ProsperRating",0.13227,759,"","A"
"48",140,1,"ProsperRating",0.15833,699,"","A"
"49",141,1,"ProsperRating",0.17522,739,"","B"
"50",142,1,"ProsperRating",0.11695,799,"","A"
"51",143,1,"ProsperRating",0.23984,659,"","D"
"52",144,1,"ProsperRating",0.202,659,"","B"
"53",145,1,"ProsperRating",0.14348,739,"","A"
"54",146,1,"ProsperRating",0.31032,659,"","E"
"55",147,1,"ProsperRating",0.20931,739,"","B"
"56",148,1,"ProsperRating",0.17601,679,"","B"
"57",149,1,"ProsperRating",0.22415,699,"","C"
"58",150,1,"ProsperRating",0.29394,739,"","D"
"59",151,1,"ProsperRating",0.17522,739,"","B"
"61",152,1,"ProsperRating",0.19323,719,"","C"
"62",153,1,"ProsperRating",0.16324,679,"","B"
"65",154,1,"ProsperRating",0.30899,699,"","E"
"66",155,1,"ProsperRating",0.19744,679,"","C"
"68",156,1,"ProsperRating",0.35843,619,"","E"
"70",157,1,"ProsperRating",0.13636,719,"","A"
"71",158,1,"ProsperRating",0.24246,659,"","C"
"72",159,1,"ProsperRating",0.35797,779,"","HR"
"73",160,1,"ProsperRating",0.2951,679,"","D"
"74",161,1,"ProsperRating",0.26528,719,"","D"
"75",162,1,"ProsperRating",0.35643,699,"","E"
"76",163,1,"ProsperRating",0.32538,679,"","E"
"78",164,1,"ProsperRating",0.13109,779,"","B"
"80",165,1,"ProsperRating",0.24246,759,"","C"
"81",166,1,"ProsperRating",0.27776,659,"","D"
"82",167,1,"ProsperRating",0.12216,799,"","AA"
"83",168,1,"ProsperRating",0.33286,619,"","E"
"84",169,1,"ProsperRating",0.33553,679,"","E"
"85",170,1,"ProsperRating",0.22283,779,"","C"
"86",171,1,"ProsperRating",0.21166,679,"","C"
"87",172,1,"ProsperRating",0.22773,659,"","C"
"88",173,1,"ProsperRating",0.33973,659,"","E"
"89",174,1,"ProsperRating",0.35643,719,"","HR"
"90",175,1,"ProsperRating",0.21372,679,"","B"
"92",176,1,"ProsperRating",0.35858,719,"","E"
"94",177,1,"ProsperRating",0.27462,699,"","C"
"95",178,1,"ProsperRating",0.35797,719,"","HR"
"96",179,1,"ProsperRating",0.12691,699,"","A"
"97",180,1,"ProsperRating",0.23718,739,"","B"
"98",181,1,"ProsperRating",0.23121,659,"","C"
"99",182,1,"ProsperRating",0.17151,659,"","B"
"100",183,1,"ProsperRating",0.10878,819,"","AA"
"101",184,1,"ProsperRating",0.35356,739,"","HR"
"103",185,1,"ProsperRating",0.15529,739,"","A"
"104",186,1,"ProsperRating",0.26681,699,"","D"
"105",187,1,"ProsperRating",0.19859,679,"","C"
"106",188,1,"ProsperRating",0.30532,659,"","D"
"107",189,1,"ProsperRating",0.19088,679,"","B"
"108",190,1,"ProsperRating",0.35797,739,"","HR"
"110",191,1,"ProsperRating",0.14476,679,"","C"
"111",192,1,"ProsperRating",0.34631,659,"","HR"
"112",193,1,"ProsperRating",0.2837,719,"","D"
"113",194,1,"ProsperRating",0.35797,759,"","HR"
"116",195,1,"ProsperRating",0.2214,719,"","C"
"117",196,1,"ProsperRating",0.19988,719,"","C"
"119",197,1,"ProsperRating",0.17359,739,"","B"
"120",198,1,"ProsperRating",0.22108,739,"","C"
"121",199,1,"ProsperRating",0.18913,779,"","C"
"125",200,1,"ProsperRating",0.20081,739,"","B"
